NU_INSCRICAO,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_SURDEZ,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_GESTANTE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q006,Q025
190001689535,20,M,Solteiro(a),Branca,Brasileiro(a),RJ,Já concluí o Ensino Médio,2017,Não Respondeu,missing value,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,570.6,639.2,578.8,577.7,Inglês,Sem problemas,920.0,Completou a Pós-graduação.,Completou a Pós-graduação.,10 a 12 SM,Sim
190001689537,20,F,Solteiro(a),Preta,Brasileiro(a),RS,Já concluí o Ensino Médio,2016,Não Respondeu,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,567.3,604.8,569.2,603.4,Espanhol,Sem problemas,840.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",2 a 2.5 SM,Sim
190001689569,45,M,Solteiro(a),Parda,Brasileiro(a),PI,Já concluí o Ensino Médio,Antes de 2007,Não Respondeu,missing value,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,537.6,698.3,593.1,491.6,Espanhol,Sem problemas,840.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade.",1.5 a 2 SM,Sim
190001689571,20,F,Solteiro(a),Branca,Brasileiro(a),RS,Já concluí o Ensino Médio,2016,Não Respondeu,missing value,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,541.1,519.8,490.8,411.6,Espanhol,Sem problemas,740.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",2 a 2.5 SM,Sim
190001689579,21,F,Solteiro(a),Preta,Brasileiro(a),RS,Já concluí o Ensino Médio,2018,Não Respondeu,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,433.3,521.4,559.1,425.0,Espanhol,Sem problemas,500.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade.",3 a 4 SM,Sim
190001689586,25,M,Solteiro(a),Branca,Brasileiro(a),RS,Já concluí o Ensino Médio,2013,Não Respondeu,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,377.4,462.7,514.9,438.9,Espanhol,Sem problemas,420.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade.",1.5 a 2 SM,Sim
190001689589,16,F,Solteiro(a),Branca,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio após 2019,Não informado,Não Respondeu,missing value,Sim,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,533.9,551.0,583.3,584.0,Inglês,Sem problemas,740.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade.",5 a 6 SM,Sim
190001689612,24,F,Solteiro(a),Branca,Brasileiro(a),RS,Já concluí o Ensino Médio,2014,Não Respondeu,missing value,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,488.8,596.8,611.9,463.5,Inglês,Sem problemas,660.0,Não sei.,Não completou a 4ª série/5º ano do Ensino Fundamental.,1 a 1.5 SM,Não
190001689623,20,F,Solteiro(a),Branca,Brasileiro(a),RS,Já concluí o Ensino Médio,2016,Não Respondeu,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,608.8,631.2,617.7,707.4,Espanhol,Sem problemas,880.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a Faculdade, mas não completou a Pós-graduação.",4 a 5 SM,Sim
190001689640,23,F,Casado(a)/Mora com companheiro(a),Parda,Brasileiro(a),RS,Já concluí o Ensino Médio,2014,Não Respondeu,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,552.2,482.9,542.3,702.2,Inglês,Sem problemas,720.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",1 a 1.5 SM,Sim
